Partner Name;2010;2011;2012;2013;2014
Kuwait;62924,39;115390,165;88657,471;90464,627;86320,144
Kyrgyz Republic;390,302;86,249;15,9;460,324;501,485
Lao PDR;732,845;2084,549;247,58;1235,77;1226,028
Latvia;6598,666;7483,509;9042,742;11774,901;11097,539
Lebanon;93440,999;107782,417;57193,885;53855,071;60029,263
Lesotho;3,23;22;;16,823;
Liberia;17037,342;38644,676;38743,307;13579,774;8891,053
Libya;88612,765;193503,974;83201,244;112141,111;72824,869
Lithuania;4719,949;8754,837;8981,163;20466,777;34706,155
Luxembourg;30381,24;16909,071;30281,055;51835,558;15851,312
Macao;1048,402;655,365;315,588;668,536;564,339
Macedonia, FYR;363,141;79,13;43,856;41,686;738,402
Madagascar;11470,797;11647,555;9863,094;3653,47;164,145
Malawi;8387,682;12629,201;8495,761;6188,627;200,544
Malaysia;338094,183;495417,965;376560,415;431195,845;402673,41
Maldives;411,871;501,114;332,958;173,189;349,16
Mali;6725,485;1725,84;8675,469;7367,694;2274,885
Malta;1156,088;1736,466;1382,652;3175,688;1984,042
Marshall Islands;713,308;1057,511;1735,715;1372,226;1116,766
Mauritania;3668,842;85,053;2122,176;9809,541;2889,395
Mauritius;626,949;2028,368;921,1;1888,616;1119,756
Mayotte;2374,783;192,326;6922,262;302,496;
Mexico;7124583,025;9387864,379;9809228,74;8327404,07;8451393,393
Micronesia, Fed. Sts.;4761,903;5533,527;4793,963;5297,192;5609,768
Moldova;6967,527;170,629;17,259;15,155;210,316
Mongolia;205,953;513,958;632,676;643,511;596,949
Montenegro;164,139;398,326;272,081;667,424;667,541
Montserrat;128,057;190,199;133,235;146,38;95,652
Morocco;453867,578;517383,327;266795,841;112246,57;149603,323
Mozambique;43059,978;67923,047;46891,277;29335,156;9565,638
Myanmar;885,96;13507,218;6233,854;11319,592;8043,801
Namibia;1772,559;9875,122;7166,035;5793,851;82,551
Nepal;2910,864;9437,819;2527,63;566,541;861,408
Netherlands;762716,183;1093960,995;871726,29;975744,215;1424856,199
Netherlands Antilles;19463,236;;;;
New Caledonia;1184,64;1081,294;1302,405;1229,063;1097,344
New Zealand;81321,662;89913,327;99900,724;100990,189;135961,771
Nicaragua;188732,849;193052,175;162205,768;113099,97;109664,073
Niger;18634,434;15738,311;11474,853;1006,947;2790,212
Nigeria;891448,845;1219592,916;1000760,978;991210,001;723293,668
Niue;231,25;236,43;;;
Norfolk Island;73,815;67,062;;;
Norway;65588,522;52466,004;55635,988;78019,297;69248,292
Occ.Pal.Terr;;90;140,076;138,12;107,498
Oman;25906,599;59378,197;30720,792;13589,113;17188,02
Other Asia, nes;1927517,122;2333148,606;1960724,086;1675541,475;2026540,446
Pakistan;128112,779;157622,149;99636,533;110765,023;87119,946
Palau;1609,112;2026,561;1699,677;1715,003;2258,081
Panama;190951,408;207383,729;151768,266;207052,401;200277,035
Papua New Guinea;78934,511;2333,809;1427,754;6642,758;9359,306
Paraguay;1028,209;1010,062;475,633;956,38;1185,88
Peru;432737,832;451647,702;156515,956;354343,959;802547,029
