Partner Name;2010;2011;2012;2013;2014
Nepal;6,922;6,445;;9,046;31,635
Netherlands;283070,964;424811,516;385219,881;505027,291;384498,529
Netherlands Antilles;1826,921;;;;
New Caledonia;14,738;16273,092;13,14;3964,827;32187,706
New Zealand;6461,934;5619,926;5360,424;5685,17;4800,901
Nicaragua;1174,523;1249,757;3255,793;4394,295;1453,01
Niger;;;2247,831;3,8;
Nigeria;1332,78;3570,758;4456,39;1153,101;3906,38
Norway;3501,16;4143,399;4913,118;5215,789;9463,037
Oman;1064,344;510,595;887,956;1860,784;2331,29
Other Asia, nes;62964,994;65660,266;63761,23;61066,24;57663,333
Pakistan;7415,142;4261,186;4570,393;4991,809;5285,562
Palau;;;;17,846;
Panama;20891,718;7199,046;9755,033;3645,608;4767,658
Papua New Guinea;48,689;55,469;52,814;259,906;22,303
Paraguay;115,596;139,234;123,487;83,167;164,089
Peru;9478,136;13906,868;40773,621;21958,335;8548,013
Philippines;8965,597;40481,472;17109,19;55625,256;49465,612
Poland;1698,759;2153,657;2148,401;2764,54;4750,014
Portugal;842,753;1305,25;1245,729;723,51;683,441
Qatar;2844,095;1840,193;1137,924;475,67;878,847
Romania;232,59;294,377;356,374;329,7;357,517
Russian Federation;15668,39;10543,572;7535,835;8886,653;23429,221
Saudi Arabia;17302,922;20380,758;12640,245;12804,899;19869,245
Senegal;;7962,235;;17,944;8,447
Serbia, FR(Serbia/Montenegro);5943,037;;3,937;12,694;8,454
Seychelles;;;68,115;;203,481
Sierra Leone;;3,066;;37,598;
Singapore;14203,283;12917,274;12668,502;9459,298;13696,724
Sint Maarten;;1752,633;1419,013;768,036;490,624
Slovak Republic;64,587;41,454;93,392;7611,851;69,03
Slovenia;999,876;65,318;56,351;98,538;47,661
Solomon Islands;;4,968;6,042;4,664;4,667
South Africa;21969,195;16840,825;28816,197;52821,752;32382,578
Spain;199661,456;211192,32;139771,392;149176,954;170745,362
Sri Lanka;523,113;429,94;636,175;584,277;622,834
St. Kitts and Nevis;326,015;337,804;317,537;364,633;746,803
St. Lucia;761,424;126,79;152,387;259,11;293,22
St. Vincent and the Grenadines;97,206;242,453;146,504;225,282;157,248
Suriname;585,794;1133,095;497,51;552,044;475,649
Swaziland;3,5;5,183;9,413;;
Sweden;21424,839;26759,551;20017,131;16422,083;16217,534
