Partner Name;2010;2011;2012;2013;2014
Indonesia;16478339,56;19110888,13;18002185,53;18873682,6;19360890,66
Iran, Islamic Rep.;94506,447;1005,187;2113,55;2208,518;
Iraq;12143262,69;16959778,63;19265352,92;13305738,48;13827035,43
Ireland;33848002,76;39370506,05;33372369,91;31496269,89;33955057,35
Israel;20983687,95;23045862,78;22130140,62;22782246,63;22961716,91
Italy;28508140,09;33969137,81;36963690,75;38704115,51;42113829,61
Jamaica;327666,67;566051,085;507117,482;414427,399;285153,217
Japan;120551956,4;128927833,5;146431641,3;138574359,6;134003646,4
Jordan;974115,955;1060514,065;1155531,816;1197255,973;1400522,575
Kazakhstan;1872411,829;1679301,906;1564968,259;1421402,621;1410773,675
Kenya;311136,246;381554,799;389495,963;452257,03;590720,156
Kiribati;1023,175;645,508;596,252;1020,432;2624,182
Korea, Dem. Rep.;8,363;;;;
Korea, Rep.;48875026,03;56660929,91;58898733,17;62432155,22;69517887,49
Kuwait;5382010,083;7808733,355;13020902,29;12636911,19;11436964,68
Kyrgyz Republic;3895,147;2661,048;9250,595;3524,577;2360,415
Lao PDR;59099,362;58852,777;25043,011;30513,983;32920,629
Latvia;193056,242;362570,78;246245,171;272668,88;274500,843
Lebanon;83889,043;79306,843;81186,79;91677,058;72170,813
Lesotho;298925,947;384351,086;310571,285;351402,897;361009,125
Liberia;179887,972;158175,327;143977,124;96490,694;83364,899
Libya;2116835,644;645010,462;2493042,856;2558215,497;224801,161
Lithuania;637292,834;1044423,845;1176197,244;1554352,566;1093909,491
Luxembourg;450693,951;495112,965;553224,144;641150,152;754830,676
Macao;141095,01;113087,899;94934,494;94596,746;74380,691
Macedonia, FYR;37037,254;52489,815;86760,394;62030,01;167083,68
Madagascar;108396,577;87130,577;109876,814;179763,551;215676,635
Malawi;71659,198;64923,258;65958,496;73103,263;66584,071
Malaysia;25900917,09;25776848,68;25934755,36;27289247;30420356,3
Maldives;1597,413;2880,675;17616,884;20313,347;23180,33
Mali;6305,215;4078,609;3643,75;3680,149;4772,449
Malta;261806,535;244060,459;255004,291;212093,419;173231,821
Marshall Islands;11819,682;14938,789;18944,809;16965,963;14455,294
Mauritania;52863,815;965,142;694,097;130690,363;101402,327
Mauritius;196352,208;251707,228;260205,159;338728,474;401234,686
Mayotte;60,899;19,44;23,726;16,629;
Mexico;229980863,7;262828246,7;277586310,4;280539036,3;294059524,3
Micronesia, Fed. Sts.;4217,798;1601,894;903,581;1786,725;402,65
Moldova;12454,182;16194,614;25344,634;35264,959;35371,231
Mongolia;11555,218;11003,863;42104,073;19652,37;14812,883
Montenegro;3947,306;4386,631;3665,724;1696,887;2716,969
Montserrat;514,359;608,342;1809,196;2673,698;679,701
Morocco;685506,959;995660,068;932130,007;976096,375;992102,774
Mozambique;64703,63;34966,794;38531,78;76072,912;99936,947
Myanmar;;;38;29909,357;92746,032
Namibia;195144,043;436230,221;231111,858;262312,815;256185,462
Nauru;219,538;319,977;473,434;600,011;573,589
Nepal;60515,37;77444,344;83519,705;77758,435;86578,02
Netherlands;19048980,63;23448207,15;22257723,14;19232075,71;20797559,85
Netherlands Antilles;1026183,628;;;;
New Caledonia;70572,19;91128,908;57574,834;69561,109;84726,737
New Zealand;2763486,18;3167134,957;3436283,965;3485994,152;3975580,743
Nicaragua;2007563,561;2603134,501;2748023,28;2806158,416;3103611,765
Niger;26516,42;288675,966;81719,779;2331,191;4594,002
Nigeria;30515949,85;33854186,37;19014224,37;11723857,82;3839186,383
Niue;31,904;52,795;150,352;181,778;198,703
Norfolk Island;9,925;270,353;50,581;9,79;17,408
Norway;6950290,699;8304892,737;6566014,298;5510592,901;5357464,158
Occ.Pal.Terr;6408,318;7752,237;5095,927;5304,512;4561,317
Oman;773306,955;2208302,314;1354422,658;1022605,574;976051,584
Other Asia, nes;35846833,82;41405172,28;38860601,15;37939308,49;40581475,11
Pakistan;3509067,32;3832093,372;3627549,917;3688292,311;3671730,828
Palau;148,035;207,348;451,316;177,694;541,104
Panama;380967,722;389371,574;538802,831;448745,053;430869,995
Papua New Guinea;96678,304;141677,39;118008,125;129093,372;100132,044
Paraguay;62138,779;109931,018;196931,657;276963,576;196452,87
Peru;5243295,651;6604999,463;6418267,585;8126563,226;6076661,069
Philippines;7981991,109;9144855,31;9580438,68;9268702,328;10143879,69
Pitcairn;4,083;2,772;4,511;3,439;124,264
Poland;2963607,136;4378046,046;4621397,08;4885141,983;5151800,285
Portugal;2141532,92;2582511,678;2609547,413;2831102,331;3208971,431
Qatar;466353,652;1199704,662;1011454,913;1300913,475;1742145,895
Romania;1007740,717;1435058,578;1620352,983;1716149,362;2102923,353
Russian Federation;25689087,87;34618569,01;29364243,18;27085388,01;23656311,17
Rwanda;21491,398;30855,138;33265,417;24413,898;40641,306
Saint Helena;7210,59;8482,781;6572,581;7804,252;9063,888
Saint Pierre and Miquelon;1844,709;208,618;2,878;56,971;5,618
Samoa;3331,698;2971,1;2389,292;4493,443;5214,994
San Marino;3807,07;4843,909;4883,684;6123,053;6485,18
Sao Tome and Principe;313,597;981,624;553,482;253,002;984,219
Saudi Arabia;31411739,01;47476293,45;55666873,29;51806539,09;47040791,36
Senegal;5115,35;6766,267;16771,627;16981,303;25443,021
