Partner Name;2010;2011;2012;2013;2014
Malaysia;1399123,945;1589405,338;1589059,3;1578589,058;1577146,354
Mali;2,213;57,523;14,692;;
Malta;8025,978;9212,038;10093,874;11361,691;10094,538
Marshall Islands;0,735;20,021;5,12;18,644;
Mauritania;1,664;0,296;;;
Mauritius;175,563;135,067;437,001;41,259;117,616
Mexico;4401360,143;5238793,853;5749882,496;6046294,699;6694112,887
Micronesia, Fed. Sts.;;17,375;4,504;0,884;
Middle East & North Africa;563317,541;695709,953;736884,734;842183,305;997352,404
Moldova;61,353;479,765;1736,958;1817,891;1921,064
Mongolia;53,046;0,5;;;2,21
Montenegro;1283,083;2,145;55,019;6,568;
Montserrat;1,347;;9,99;0,412;0,264
Morocco;733,937;1612,233;1793,948;3100,724;3295,121
Mozambique;27,224;;;;
Myanmar;;;;;0,472
Namibia;5,25;0,525;1,508;;17,174
Nauru;2,494;1,195;15,243;0,626;9,529
Nepal;155,1;90,008;53,649;49,485;90,431
Netherlands;455182,011;537440,042;579539,682;540195,813;578244,902
Netherlands Antilles;46,565;;;;
New Caledonia;105,012;6,198;11,177;24,834;54,458
New Zealand;17104,991;21999,925;21955,72;28053,589;31850,215
Nicaragua;424,811;189,622;394,173;263,676;779,086
Niger;30,139;39,836;17,454;14,254;115,847
Nigeria;13095,147;30867,531;21113,547;1497,767;2376,739
Niue;4,354;1,77;15,349;;
Norfolk Island;;4,656;;;
North America;12011808,77;13699411,17;13647367,66;13837527,94;14370224,58
Norway;28695,726;30589,404;49585,843;50181,179;50586,685
Occ.Pal.Terr;0,299;;;2,5;
Oman;119341,631;152753,641;203381,352;310701,835;364406,28
Other Asia, nes;1942548,151;2224199,785;2302366,267;2394379,453;2499389,493
Pakistan;25433,777;27157,143;33538,76;59596,456;29574
Panama;1149,345;1283,569;878,503;967,123;1290,946
Papua New Guinea;;;;3;
Paraguay;41,702;9,755;21,712;24,939;205,27
Peru;24957,236;36367,462;34393,027;33334,672;69442,727
Philippines;103169,823;103984,909;125358,963;135915,885;188740,63
Poland;72863,736;96146,844;110225,495;131075,146;178354,319
Portugal;56300,377;63259,609;60291,104;105130,653;102699,051
Qatar;424,172;336,901;328,589;84,653;337,111
Romania;43893,947;91549,733;114635,714;128496,269;140457,612
Russian Federation;124430,558;153900,089;211796,664;261972,096;257129,375
Rwanda;1,738;;;;1,5
Samoa;1,61;425,65;58,176;44,125;153,249
San Marino;319,198;156,598;159,994;120,431;65,977
Sao Tome and Principe;10,332;0,344;;;
Saudi Arabia;24451,352;41792,114;19017,487;5926,012;10460,28
Senegal;79,992;80,868;54,944;2,498;6,714
Serbia, FR(Serbia/Montenegro);1338,902;6007,29;7707,473;9438,35;9187,619
Seychelles;180,416;43,889;16,215;164,385;143,275
Sierra Leone;108,527;287,256;315,06;136,464;198,681
Singapore;241126,885;226644,124;265756,212;307128,902;328048,775
Sint Maarten;;;3;15,037;
Slovak Republic;7183,103;25942,708;86810,395;126431,362;163073,835
Slovenia;8196,81;16415,913;15309,74;15765,724;21950,855
Solomon Islands;1,848;;;10,738;
South Africa;45266,475;64993,975;66776,704;56720,095;54383,776
South Asia;777650,275;1026034,314;1130868,846;1114241,551;1195212,521
Spain;339636,706;441782,8;557413,902;618685,044;636520,167
Sri Lanka;198896,854;299894,384;321743,634;311806,427;315201,491
St. Kitts and Nevis;17,539;19,783;1,386;49,522;10
St. Lucia;0,969;0,444;0,3;3,243;2,344
St. Vincent and the Grenadines;2,254;;;0,416;
Sub-Saharan Africa;295865,508;465704,951;389183,561;293020,805;237372,748
Suriname;9,64;176,486;62,382;15,237;117,851
Swaziland;492,234;312,924;520,816;398,439;323,743
Sweden;251935,06;254181,333;252628,066;268884,873;334868,586
Switzerland;269459,361;292399,325;309305,586;296913,332;318281,805
Syrian Arab Republic;65,249;32,421;18,537;0,36;
Tajikistan;0,997;12,348;;;
Tanzania;1,196;0,35;7,068;0,335;0,8
Thailand;2244102,387;3110444,37;2881003,399;2511838,975;2445636,99
Togo;3,329;2,71;729,765;125,914;38,073
Tokelau;41,263;204,017;146,257;73,521;23,05
Trinidad and Tobago;2660,31;2952,457;2539,135;3047,119;2373,476
Tunisia;866,607;656,907;3385,183;1476,6;1656,758
Turkey;126633,642;179803,131;184404,868;169208,489;203798,946
Turkmenistan;;0,426;;;
Turks and Caicos Isl.;0,67;0,893;1,17;;
Uganda;72,104;3,282;;;
Ukraine;2827,39;2757,582;7429,271;3182,884;1546,076
United Arab Emirates;45334,162;70456,17;64342,029;49584,896;31619,978
United Kingdom;1093379,169;1177330,772;1245578,927;1253423,965;1325963,845
Uruguay;5975,751;5617,858;5859,618;4439,123;4246,266
Uzbekistan;16,401;50,755;40,457;57,244;79,014
Vanuatu;;;2,248;;
Venezuela;3447,813;4278,034;3677,917;4903,96;5147,371
Vietnam;274951,847;331422,651;349239,715;342004,963;378555,736
Yemen;2,13;2,802;1,812;9,294;14,035
Zambia;0,791;10,51;;0,881;
Zimbabwe;3,2;;8,119;4,985;1,82
