Partner Name;2010;2011;2012;2013;2014
Jamaica;118906,993;174406,606;169466,059;162551,525;154794,544
Japan;10252562,52;10361299,29;11173170,06;9793225,065;9965227,51
Jordan;37364,614;62203,872;67156,341;63765,583;60775,909
Kazakhstan;39013,722;41000,058;58695,564;128097,162;114915,929
Kenya;34282,79;36121,662;75590,767;34272,671;30496,588
Kiribati;;1247,527;21,174;185,81;119,868
Korea, Dem. Rep.;;;16,5;47,152;
Korea, Rep.;5256946,989;5554877,158;5750862,402;5651867,205;5857743,187
Kuwait;164596,155;150145,348;175589,487;176512,8;212329,62
Kyrgyz Republic;397,634;635,56;789,584;567,114;589,787
Lao PDR;890,534;261,267;3704,116;1518,975;4045,506
Latvia;15140,99;22179,207;33291,039;39001,066;30506,635
Lebanon;50773,138;50472,075;57502,994;44803,606;59795,344
Lesotho;32,783;5220,948;14,545;66,431;697,635
Liberia;2510,251;1846,905;1917,563;4142,751;5421,086
Libya;25245,036;8605,04;32194,092;46891,888;26719,603
Lithuania;31801,861;27881,249;31051,01;21264,399;31788,915
Luxembourg;109063,51;50734,011;32861,496;32365,57;67917,723
Macao;7670,343;5857,395;3513,802;3547,215;3302,19
Macedonia, FYR;1114,886;1318,073;1615,225;4329,649;5197,074
Madagascar;1270,974;2352,933;3380,999;1336,869;1740,189
Malawi;7372,87;12576,753;28638,713;19293,088;20387,645
Malaysia;609578,549;767642,957;740979,56;881797,19;749715,263
Maldives;805,568;1494,513;1503,899;1165,409;1772,816
Mali;3291,145;14725,932;24809,425;12678,33;13489,84
Malta;7670,278;5043,104;4234,323;33069,491;4816,492
Marshall Islands;623,064;2427,81;786,858;712,558;544,422
Mauritania;1672,064;229,954;364,973;7353,076;10024,369
Mauritius;6399,306;3798,102;2447,78;2728,118;2741,526
Mayotte;336,357;358,773;198,013;718,878;
Mexico;12103506,17;14267018,48;15927586,08;15849965,59;16304862,06
Micronesia, Fed. Sts.;1168,034;926,98;1123,453;856,635;803,433
Moldova;2201,187;2415,888;916,906;2390,599;2666,234
Mongolia;855,188;1766,76;3097,092;3567,736;3215,025
Montenegro;210,247;659,418;463,618;3091,872;4337,51
Montserrat;233,926;321,637;353,324;193,575;329,797
Morocco;42707,309;37057,406;33387,256;63567,396;71340,098
Mozambique;2461,175;5481,415;11810,93;8288,274;3042,735
Myanmar;840,683;1087,44;2221,68;3997,17;3525,613
Namibia;3009,006;8656,987;18680,601;19608,91;24044,771
Nauru;6,816;;;;4,819
Nepal;2228,913;4246,54;1211,311;4570,382;1580,609
Netherlands;7624168,607;7222946,705;6639490,586;7494734,479;8396383,512
Netherlands Antilles;73704,302;;;;
New Caledonia;24271,401;1261,07;1530,503;3319,388;1392,611
New Zealand;271107,368;284677,02;307411,183;320210,352;300125,673
Nicaragua;47164,769;61337,519;66083,366;72514,961;57693,477
Niger;2804,412;1892,314;396,955;633,9;11941,51
Nigeria;114700,758;162436,204;164014,99;198310,542;211705,46
Niue;19,779;21,532;;;
Norfolk Island;75,658;4,495;39,255;3,223;5,999
Norway;424632,216;370074,544;256442,136;217350,897;270421,111
Occ.Pal.Terr;44,14;;487,546;372,191;304,518
Oman;138446,645;84937,053;141423,194;128317,793;53079,778
Other Asia, nes;3539434,388;4008473,097;3769773,704;3560347,838;3617879,269
Pakistan;188570,892;102883,328;121175,941;99690,891;127445,678
Palau;201,688;174,183;235,699;312,525;313,872
Panama;410002,573;574305,794;567113,121;567921,849;430803,005
Papua New Guinea;4419,643;4178,324;6034,474;12164,157;6480,882
Paraguay;98149,85;112476,528;119030,922;113989,527;146335,741
Peru;682075,519;738030,333;760959,218;762798,073;780252,965
Philippines;364889,043;389953,786;403445,363;408714,971;457438,399
Poland;220248,862;278672,165;234241,734;236066,851;274111,777
Portugal;56694,861;52171,188;84878,874;35618,584;51763,874
Qatar;101546,363;75613,831;70329,689;85852,964;116304,269
Romania;28025,896;38859,02;28520,015;30221,64;39659,203
