Reporter Name;Partner Name;Trade Flow;Product Group;Indicator;2010;2011;2012;2013;2014
Slovenia;Italy;Import;Stone and Glass;Import (US$ Thousand);112824,483;121505,582;97436,067;108854,104;103008,982
Slovenia;Japan;Import;Stone and Glass;Import (US$ Thousand);1915,936;2228,787;789,505;991,782;1110,847
Slovenia;Jordan;Import;Stone and Glass;Import (US$ Thousand);23,171;8,436;3,614;;3,895
Slovenia;Kenya;Import;Stone and Glass;Import (US$ Thousand);0,284;2,911;;;0,298
Slovenia;Kiribati;Import;Stone and Glass;Import (US$ Thousand);;;;;0,203
Slovenia;Korea, Dem. Rep.;Import;Stone and Glass;Import (US$ Thousand);0,526;0,142;0,931;0,044;0,209
Slovenia;Korea, Rep.;Import;Stone and Glass;Import (US$ Thousand);1745,544;1936,495;1683,089;1472,361;1569,591
Slovenia;Kuwait;Import;Stone and Glass;Import (US$ Thousand);;;4,309;6,313;7,982
Slovenia;Latvia;Import;Stone and Glass;Import (US$ Thousand);865,442;1632,634;1923,477;3012,861;3318,147
Slovenia;Lebanon;Import;Stone and Glass;Import (US$ Thousand);;9,924;;;
Slovenia;Liberia;Import;Stone and Glass;Import (US$ Thousand);0,18;;;;
Slovenia;Lithuania;Import;Stone and Glass;Import (US$ Thousand);33,509;34,651;1,024;39,828;16,24
Slovenia;Luxembourg;Import;Stone and Glass;Import (US$ Thousand);223,535;243,101;122,49;261,591;433,266
Slovenia;Macedonia, FYR;Import;Stone and Glass;Import (US$ Thousand);358,57;96,459;81,636;18,995;36,843
Slovenia;Madagascar;Import;Stone and Glass;Import (US$ Thousand);;3,026;;;8,31
Slovenia;Malaysia;Import;Stone and Glass;Import (US$ Thousand);10,953;188,01;957,836;195,64;45,256
Slovenia;Malta;Import;Stone and Glass;Import (US$ Thousand);0,173;0,118;0,107;0,03;0,001
Slovenia;Mauritius;Import;Stone and Glass;Import (US$ Thousand);27,335;25,082;17,269;20,678;14,074
Slovenia;Mexico;Import;Stone and Glass;Import (US$ Thousand);45,875;131,013;143,169;97,599;49,889
Slovenia;Moldova;Import;Stone and Glass;Import (US$ Thousand);;;8,423;0,013;
Slovenia;Montenegro;Import;Stone and Glass;Import (US$ Thousand);40,649;130,948;326,238;419,723;105,709
Slovenia;Morocco;Import;Stone and Glass;Import (US$ Thousand);10,469;9,386;9,23;17,535;18,187
Slovenia;Namibia;Import;Stone and Glass;Import (US$ Thousand);;0,753;;;
Slovenia;Nepal;Import;Stone and Glass;Import (US$ Thousand);4,177;2,219;0,679;3,82;11,593
Slovenia;Netherlands;Import;Stone and Glass;Import (US$ Thousand);8018,629;14323,399;5315,794;2808,954;1958,923
Slovenia;New Zealand;Import;Stone and Glass;Import (US$ Thousand);0,724;7,773;0,981;0,81;0,12
Slovenia;Niger;Import;Stone and Glass;Import (US$ Thousand);3,772;;;0,46;1,057
Slovenia;Nigeria;Import;Stone and Glass;Import (US$ Thousand);0,045;;;;
Slovenia;Norway;Import;Stone and Glass;Import (US$ Thousand);59,886;79,82;120,027;45,218;81,55
Slovenia;Oman;Import;Stone and Glass;Import (US$ Thousand);29,038;36,434;39,535;66,02;45,164
Slovenia;Other Asia, nes;Import;Stone and Glass;Import (US$ Thousand);332,688;1127,455;897,656;812,979;883,461
