Partner Name;2010;2011;2012;2013;2014
Malaysia;278116,48;261844,418;76068,86;35554,766;33765,825
Maldives;13,929;13,286;69,054;74,945;31,098
Mali;17,056;;30,076;5,25;
Malta;360612,782;650352,421;284487,841;433099,479;776915,671
Marshall Islands;251,597;70,449;68805,043;24960,056;93,559
Mauritania;25677,86;148610,596;130392,679;21791,456;60,16
Mauritius;13,131;94,089;76,59;5,44;64,779
Mayotte;;85,978;5,853;15,495;
Mexico;14257996,76;23630158,7;23658186,16;23107901,1;23666597,85
Micronesia, Fed. Sts.;273,993;289,78;252,285;441,788;223,054
Moldova;29,053;17,244;2,592;15,429;6,575
Mongolia;318,654;1432,85;1283,791;854,686;972,063
Montenegro;3,356;;;;
Montserrat;55,733;4,217;112,542;245,918;288,548
Morocco;421044,783;893733,827;798059,578;1232905,258;1088498,451
Mozambique;57547,173;104040,805;107999,94;88108,25;87037,699
Myanmar;51,6;;19,057;39,894;424,368
Namibia;106,177;142,74;27911,503;28969,793;25,27
Nepal;;41,388;;;2,8
Netherlands;5817317,181;11200738,12;11596963,44;11570663,81;9653399,45
Netherlands Antilles;1523968,434;;;;
New Caledonia;27,851;101,471;840,045;1265,474;24,227
New Zealand;55610,708;80022,827;82935,098;131089,181;56170,127
Nicaragua;22766,84;33673,329;26885,68;30850,273;27974,851
Niger;146,54;;;3,732;89,358
Nigeria;638239,326;629584,357;884393,939;2002889,415;2130103,847
Norway;72206,656;201038,114;261708,201;376793,306;290430,269
Occ.Pal.Terr;;;3,054;;
Oman;2634,915;3469,871;5886,647;6865,586;8988,264
Other Asia, nes;141541,574;105177,122;467081,714;1076389,79;783840,942
Pakistan;6975,106;18125,012;12712,871;2092,841;2397,801
Palau;;13,509;54,459;37,411;89,546
Panama;2451566,679;3980204,995;5144934,47;5684628,645;6184427,071
Papua New Guinea;214,397;141,751;156,215;122,237;89,428
Paraguay;65011,616;27862,449;40565,065;59822,546;72459,557
Peru;978084,726;1638157,533;2248928,523;2974072,098;2698588,206
Philippines;12954,218;12568,281;17063,294;13018,167;20645,054
Poland;401350,69;327848,569;113274,499;88861,677;85776,141
Portugal;87516,208;168806,491;148968,64;69087,918;103764,45
Qatar;16848,818;59735,043;30488,98;43571,225;30676,183
Romania;142251,799;238110,915;246979,09;126477,421;204188,838
Russian Federation;47532,004;45625,208;57396,649;46606,986;45298,757
Saint Helena;28,378;;30,252;;
Samoa;346,258;380,113;251,386;216,004;292,401
Saudi Arabia;31833,542;78114,756;58776,869;113470,606;135527,248
Senegal;79398,495;17140,229;5313,703;41736,854;36,802
Serbia, FR(Serbia/Montenegro);165,621;304,355;1176,501;200,15;112,121
Seychelles;;;10,14;;12,428
Sierra Leone;176,896;452,666;293,282;287,007;317,483
Singapore;3384533,752;4412207,225;4433456,306;4812426,642;4011522,061
Sint Maarten;;6904,892;14914,25;94038,612;29320,219
Slovak Republic;44930,796;56163,949;87973,894;41163,342;55618,845
Slovenia;73314,633;386312,309;133006,458;34211,023;61522,811
South Africa;304757,035;441314,442;242671,428;225594,804;242180,345
Spain;731626,787;1964890,245;1315352,994;986083,457;861473,99
Sri Lanka;288,598;631,276;638,279;557,695;730,972
St. Kitts and Nevis;616,496;907,635;1195,382;4996,781;31323,054
St. Lucia;216755,903;138133,994;198984,635;378749,198;468521,818
St. Vincent and the Grenadines;682,986;798,043;2845,623;1233,852;5664,405
Suriname;4013,698;5181,358;7401,625;7426,289;21239,049
Swaziland;5,241;;;;16,2
Sweden;186617,415;176972,302;121544,841;73594,327;128949,898
Switzerland;23196,162;180126,738;121044,106;94489,837;497457,533
Syrian Arab Republic;204,327;;;;
Tajikistan;;;;;4,601
Tanzania;164,809;226,739;164,732;224,456;802,79
Thailand;190354,197;343581,599;300550,379;166032,893;138056,041
Togo;31734,697;108187,295;270608,614;907795,259;933960,117
Tokelau;;;2,52;;
Tonga;75,421;46,668;6482,114;37,348;40,003
Trinidad and Tobago;75927,456;254927,221;388185,01;83589,484;80072,334
Tunisia;34014,879;20163,692;93828,861;281810,954;202907,795
Turkey;599676,139;2166475,387;1699880,853;2013324,752;1354776,341
Turkmenistan;202,339;;38,885;212,021;651,531
Turks and Caicos Isl.;27402,464;33705,519;33333,933;31204,339;40948,493
Uganda;;184,918;40,235;202,351;11,424
Ukraine;391207,713;1011640,547;489597,195;402074,835;351342,302
United Arab Emirates;102103,554;322526,213;83760,811;458644,502;169376,088
United Kingdom;1054611,95;1868517,043;2617866,414;2425954,89;2432895,237
Uruguay;15334,496;83912,021;44573,358;178720,539;165377,359
Uzbekistan;2938,305;6207,848;4448,076;4288,364;5188,999
Vanuatu;;;474;27;
Venezuela;553352,753;654532,028;3402248,992;2762514,479;2800574,552
Vietnam;9385,902;7421,752;8661,959;11181,176;16270,921
Yemen;991,162;925,259;1218,257;2119,406;2306,251
Zambia;152,62;53,88;23,718;44,915;25,871
Zimbabwe;24,304;6,804;;;
